"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"LAX","WN",11115,1007,7714,27,37899,57762
"LBB","AA",175,0,0,0,0,175
"LBB","EV",30,52,76,0,205,363
"LBB","OO",0,0,60,0,21,81
"LBB","WN",205,0,40,0,483,728
"LBE","NK",50,0,129,0,181,360
"LCH","EV",659,0,251,0,414,1324
"LEX","DL",172,0,47,0,242,461
"LEX","EV",2083,0,1492,0,1085,4660
"LEX","OO",1743,75,220,0,2270,4308
"LFT","DL",50,0,3,0,0,53
"LFT","EV",514,54,2170,0,1123,3861
"LGA","AA",3117,671,2385,0,4772,10945
"LGA","B6",2408,31,839,0,2846,6124
"LGA","DL",5785,5645,2255,0,9195,22880
"LGA","EV",5869,0,1695,0,7805,15369
"LGA","F9",39,0,117,0,804,960
"LGA","NK",247,0,1912,0,341,2500
"LGA","OO",0,0,308,0,200,508
"LGA","UA",2125,927,709,0,2256,6017
"LGA","VX",40,0,169,0,292,501
"LGA","WN",1392,356,1909,15,4643,8315
"LGB","B6",4030,150,2354,73,6679,13286
"LGB","OO",172,35,37,0,46,290
"LGB","WN",829,0,123,0,877,1829
"LIH","AA",186,0,106,0,26,318
"LIH","AS",216,93,101,0,684,1094
"LIH","DL",136,0,24,0,413,573
"LIH","HA",680,750,132,0,5436,6998
"LIH","UA",452,0,21,0,741,1214
"LIT","DL",101,0,79,0,118,298
"LIT","EV",540,8,339,0,1599,2486
"LIT","OO",110,0,5,0,11,126
"LIT","WN",226,0,245,0,734,1205
"LNK","EV",501,0,0,0,43,544
"LNK","OO",21,3,123,0,451,598
"LRD","EV",658,0,245,0,957,1860
"LSE","OO",764,33,183,0,131,1111
"LWS","OO",0,859,64,0,18,941
"MAF","EV",3,56,325,0,626,1010
"MAF","OO",36,0,262,0,320,618
"MAF","WN",62,116,104,0,719,1001
"MBS","OO",432,828,58,0,656,1974
"MCI","AA",406,0,128,0,272,806
"MCI","AS",38,0,131,0,112,281
"MCI","DL",1345,0,165,0,693,2203
"MCI","EV",191,0,104,0,599,894
"MCI","F9",20,0,162,0,501,683
"MCI","NK",240,0,1015,0,708,1963
"MCI","OO",75,15,913,0,504,1507
"MCI","UA",248,0,345,0,775,1368
"MCI","WN",2691,229,2563,0,4009,9492
"MCO","AA",2790,104,1981,104,5645,10624
"MCO","AS",56,124,244,0,177,601
"MCO","B6",7401,27,6218,67,7357,21070
"MCO","DL",3451,57,3865,0,2361,9734
"MCO","EV",33,0,0,0,113,146
"MCO","F9",2554,70,2608,0,3516,8748
"MCO","NK",1083,27,2816,0,2903,6829
"MCO","UA",2183,109,3958,0,1687,7937
"MCO","VX",5,89,502,0,152,748
"MCO","WN",3819,577,1778,9,7344,13527
"MDT","AA",24,0,15,0,0,39
"MDT","DL",0,0,89,0,0,89
"MDT","EV",121,0,30,0,0,151
"MDT","OO",13,0,93,0,618,724
"MDW","DL",64,45,41,0,133,283
"MDW","EV",277,0,0,0,439,716
"MDW","OO",40,0,6,0,162,208
"MDW","WN",9490,2966,8723,0,13499,34678
"MEI","EV",772,0,112,0,505,1389
"MEM","AA",913,0,251,0,384,1548
"MEM","DL",168,39,167,0,307,681
"MEM","EV",271,0,1402,0,733,2406
"MEM","F9",24,0,19,0,58,101
"MEM","OO",124,0,0,0,161,285
"MEM","UA",139,0,173,0,507,819
"MEM","WN",39,18,109,0,491,657
"MFE","AA",166,0,25,0,145,336
"MFE","EV",0,0,0,0,46,46
"MFE","UA",162,257,85,0,0,504
"MFR","OO",823,0,1280,0,520,2623
"MGM","EV",894,0,122,0,716,1732
"MHT","DL",292,26,27,0,0,345
"MHT","EV",1121,0,2706,0,510,4337
"MHT","WN",579,124,388,0,326,1417
"MIA","AA",18631,616,10272,34,11339,40892
"MIA","DL",2698,11,1778,0,2313,6800
"MIA","F9",286,0,827,0,743,1856
"MIA","OO",0,0,0,0,44,44
"MIA","UA",2099,6,3531,0,855,6491
"MKE","AA",61,19,150,0,194,424
"MKE","DL",572,0,136,0,163,871
"MKE","EV",160,0,1293,0,1012,2465
"MKE","F9",142,0,290,0,256,688
"MKE","OO",1507,23,716,0,1221,3467
"MKE","UA",538,0,311,0,287,1136
"MKE","WN",474,586,1671,0,1971,4702
"MKG","OO",66,0,210,0,274,550
"MLB","DL",4,0,61,0,223,288
"MLI","EV",446,0,42,0,315,803
"MLI","OO",144,178,57,0,259,638
"MLU","EV",1497,0,381,0,1547,3425
"MMH","OO",58,0,152,0,283,493
"MOB","DL",0,0,106,0,0,106
"MOB","EV",2394,0,414,0,1171,3979
"MOT","OO",1746,0,64,0,147,1957
"MQT","OO",967,0,135,0,253,1355
"MRY","OO",587,0,1084,0,1991,3662
"MSN","DL",286,196,196,0,246,924
"MSN","EV",171,0,367,0,217,755
"MSN","F9",23,0,37,0,21,81
"MSN","OO",3251,2,329,0,751,4333
"MSN","UA",149,0,333,0,325,807
"MSO","DL",33,295,75,0,213,616
"MSO","OO",1521,434,20,0,217,2192
"MSP","AA",817,199,871,0,1239,3126
"MSP","AS",168,0,245,0,74,487
"MSP","DL",7467,147,10280,0,2877,20771
"MSP","EV",695,0,435,0,966,2096
"MSP","F9",56,0,74,0,129,259
"MSP","NK",635,0,1613,0,1230,3478
"MSP","OO",6066,934,3505,0,3448,13953
"MSP","UA",461,0,2020,0,533,3014
"MSP","WN",529,194,937,0,1359,3019
"MSY","AA",528,28,404,0,1113,2073
"MSY","AS",20,0,128,0,263,411
"MSY","B6",889,0,533,0,707,2129
"MSY","DL",1012,85,1596,0,1571,4264
"MSY","EV",1,0,38,0,0,39
"MSY","F9",1,0,128,0,281,410
"MSY","NK",386,0,1578,0,685,2649
"MSY","UA",683,5,1349,0,2682,4719
"MSY","WN",1475,378,2094,0,3105,7052
"MTJ","AA",134,0,18,0,89,241
"MTJ","DL",40,0,4,0,0,44
"MTJ","EV",5,0,4,0,119,128
"MTJ","OO",88,0,250,0,139,477
"MTJ","UA",108,0,86,0,223,417
"MYR","DL",15,0,6,0,124,145
"MYR","EV",249,0,15,0,343,607
"MYR","NK",293,35,1018,0,1415,2761
"OAJ","DL",0,19,0,0,3,22
"OAJ","EV",247,0,29,0,245,521
"OAK","AA",44,0,3,0,138,185
"OAK","AS",77,30,853,0,413,1373
"OAK","B6",474,227,236,0,1251,2188
"OAK","DL",36,92,20,0,107,255
"OAK","HA",1878,46,4,0,0,1928
"OAK","NK",257,19,1438,0,575,2289
"OAK","OO",544,0,40,0,0,584
"OAK","WN",7574,1093,5530,18,14927,29142
"OGG","AA",974,0,28,0,314,1316
"OGG","AS",907,0,209,0,1682,2798
"OGG","DL",436,0,114,0,311,861
"OGG","HA",2922,1266,652,10,9699,14549
"OGG","UA",117,120,50,0,461,748
"OGG","VX",54,8,66,0,600,728
"OKC","AA",1349,0,119,0,200,1668
"OKC","DL",20,0,8,0,215,243
"OKC","EV",169,0,3,0,89,261
"OKC","OO",345,0,1396,0,1522,3263
"OKC","UA",211,0,194,0,25,430
"OKC","WN",462,132,314,0,518,1426
"OMA","AA",188,20,691,0,54,953
"OMA","AS",0,0,67,0,208,275
"OMA","DL",24,0,335,0,212,571
"OMA","EV",905,27,697,0,1063,2692
"OMA","F9",380,0,110,0,98,588
"OMA","OO",56,58,644,0,226,984
"OMA","UA",899,0,283,0,68,1250
"OMA","WN",582,87,829,0,943,2441
"OME","AS",9,33,37,0,343,422
"ONT","AA",521,0,41,0,420,982
"ONT","AS",56,0,138,0,604,798
"ONT","DL",21,0,0,0,0,21
"ONT","OO",201,462,3383,0,2658,6704
"ONT","UA",116,0,38,0,135,289
"ONT","WN",1063,86,473,0,4616,6238
"ORD","AA",12259,1656,13261,34,7887,35097
"ORD","AS",48,0,455,0,686,1189
"ORD","B6",457,0,329,0,1534,2320
"ORD","DL",2673,59,196,0,797,3725
"ORD","EV",9761,1086,4993,0,8313,24153
"ORD","F9",396,66,1845,0,1011,3318
"ORD","NK",1948,703,3030,11,2192,7884
"ORD","OO",19869,2909,8615,3,15388,46784
"ORD","UA",16390,1868,18776,0,18805,55839
"ORD","VX",96,91,1485,0,243,1915
"ORF","AA",821,0,65,0,95,981
"ORF","DL",354,0,27,0,86,467
"ORF","EV",49,0,73,0,458,580
"ORF","OO",1306,0,54,0,0,1360
"ORF","WN",9,0,33,0,245,287
"ORH","B6",83,6,12,0,335,436
"OTH","OO",0,0,95,0,163,258
"OTZ","AS",221,116,3,0,229,569
"PAH","OO",60,0,320,0,117,497
"PBG","NK",91,0,258,0,169,518
"PBI","AA",183,377,375,0,1626,2561
"PBI","B6",2928,104,4350,40,5284,12706
"PBI","DL",1368,6,1645,48,1969,5036
"PBI","EV",2,0,11,0,4,17
"PBI","F9",461,0,181,0,415,1057
"PBI","NK",179,0,405,0,371,955
"PBI","UA",710,28,2321,0,392,3451
"PBI","WN",734,99,293,0,1133,2259
"PDX","AA",1051,0,245,0,285,1581
"PDX","AS",2203,473,6616,0,2080,11372
"PDX","B6",291,0,254,0,406,951
"PDX","DL",390,404,1275,0,2148,4217
"PDX","F9",193,4,93,0,333,623
"PDX","HA",133,94,0,0,0,227
"PDX","NK",32,0,819,0,87,938
"PDX","OO",2329,181,3023,0,7627,13160
"PDX","UA",1331,338,4405,0,2858,8932
"PDX","VX",83,119,1384,0,158,1744
"PDX","WN",1632,33,1539,11,3401,6616
"PGD","F9",281,0,58,0,438,777
"PHF","DL",81,0,0,0,0,81
"PHF","EV",54,0,0,0,89,143
"PHL","AA",8289,566,7341,4,6951,23151
"PHL","AS",28,0,112,0,238,378
"PHL","B6",209,12,200,0,882,1303
"PHL","DL",638,39,251,0,688,1616
"PHL","F9",302,0,409,0,1389,2100
"PHL","NK",916,0,737,0,47,1700
"PHL","OO",79,0,0,0,0,79
"PHL","UA",285,35,1667,0,910,2897
"PHL","WN",433,96,888,0,1299,2716
"PHX","AA",8171,27,8517,54,4776,21545
"PHX","AS",514,0,1225,0,658,2397
"PHX","B6",180,0,127,0,712,1019
"PHX","DL",1115,0,189,0,1032,2336
"PHX","F9",1254,0,542,0,1680,3476
"PHX","HA",600,0,0,0,0,600
"PHX","NK",541,0,583,0,60,1184
"PHX","OO",3358,908,3781,25,4918,12990
"PHX","UA",1833,602,1351,0,1411,5197
"PHX","WN",7372,1002,8675,4,14691,31744
"PIA","EV",321,0,56,0,407,784
"PIA","OO",606,76,91,332,333,1438
"PIB","EV",162,0,340,0,206,708
"PIH","OO",393,0,228,0,146,767
"PIT","AA",424,0,769,0,677,1870
"PIT","B6",255,33,112,0,260,660
"PIT","DL",157,0,184,0,314,655
"PIT","EV",225,0,167,0,371,763
"PIT","F9",414,0,245,0,192,851
"PIT","OO",399,21,208,0,637,1265
"PIT","UA",96,0,348,0,298,742
"PIT","WN",1062,218,1242,0,1522,4044
"PLN","OO",70,0,64,0,151,285
"PNS","DL",173,0,157,0,126,456
"PNS","EV",0,0,262,0,517,779
"PNS","WN",105,0,28,0,226,359
"PPG","HA",54,0,0,0,66,120
"PSC","OO",1901,42,690,0,850,3483
"PSE","B6",8,0,82,0,93,183
"PSG","AS",0,0,8,0,185,193
"PSP","AA",35,0,61,0,403,499
"PSP","AS",221,9,1100,0,932,2262
"PSP","B6",78,0,46,0,282,406
"PSP","DL",11,0,0,0,93,104
"PSP","OO",3887,0,2797,18,4217,10919
"PSP","UA",140,0,473,0,201,814
"PSP","VX",25,24,548,0,345,942
"PVD","AA",130,8,439,0,172,749
"PVD","B6",189,0,40,0,369,598
"PVD","DL",555,18,71,0,227,871
"PVD","EV",125,0,498,0,707,1330
"PVD","OO",62,12,69,0,42,185
"PVD","WN",909,558,764,0,786,3017
"PWM","AA",54,77,66,0,191,388
"PWM","B6",64,160,208,0,281,713
"PWM","DL",0,364,16,0,0,380
"PWM","EV",35,105,1117,0,778,2035
"PWM","WN",0,149,279,0,30,458
"RAP","OO",874,0,221,0,329,1424
"RDD","OO",28,0,493,0,689,1210
"RDM","OO",325,907,3012,0,1428,5672
"RDU","AA",5312,0,1610,14,2388,9324
"RDU","AS",18,0,139,0,65,222
"RDU","B6",1490,0,827,0,1468,3785
"RDU","DL",721,12,323,0,506,1562
"RDU","EV",246,0,287,0,515,1048
"RDU","F9",427,0,23,0,620,1070
"RDU","OO",125,0,237,0,166,528
"RDU","UA",964,0,1803,0,507,3274
"RDU","WN",843,203,627,0,1918,3591
"RHI","OO",0,0,100,0,0,100
"RIC","AA",324,0,219,0,413,956
"RIC","B6",249,0,284,0,1355,1888
"RIC","DL",257,0,106,0,46,409
"RIC","EV",3568,0,1538,0,1281,6387
"RIC","OO",1192,0,121,0,247,1560
"RIC","WN",24,0,118,0,71,213
"RKS","OO",905,0,24,0,11,940
"RNO","AA",104,4,99,0,137,344
"RNO","B6",185,106,69,0,512,872
"RNO","DL",204,0,42,0,90,336
"RNO","OO",3489,0,1477,0,1558,6524
"RNO","UA",137,0,275,0,694,1106
"RNO","WN",765,232,964,0,2219,4180
"ROA","DL",734,0,0,0,0,734
"ROA","EV",120,0,193,0,715,1028
"ROC","AA",240,0,2,0,25,267
"ROC","B6",210,0,424,0,360,994
"ROC","DL",475,7,81,0,0,563
"ROC","EV",44,42,316,0,103,505
"ROC","OO",3,0,76,0,681,760
"ROC","UA",131,0,70,0,23,224
"ROC","WN",7,0,148,0,263,418
"ROW","OO",334,0,16,0,61,411
"RST","EV",116,0,13,0,571,700
"RST","OO",359,1171,166,0,574,2270
"RSW","AA",268,18,586,0,529,1401
"RSW","B6",1424,11,3062,0,2640,7137
"RSW","DL",936,0,559,0,921,2416
"RSW","F9",193,0,76,0,207,476
"RSW","NK",730,0,1643,0,1592,3965
"RSW","OO",0,0,0,0,125,125
"RSW","UA",265,226,1215,0,1151,2857
"RSW","WN",1198,13,437,0,2860,4508
"SAF","EV",592,0,104,0,398,1094
"SAF","OO",0,0,80,0,0,80
"SAN","AA",1452,1570,726,0,2431,6179
"SAN","AS",626,362,1977,33,3019,6017
"SAN","B6",290,49,422,0,756,1517
"SAN","DL",664,266,315,0,2285,3530
"SAN","F9",138,436,104,0,399,1077
"SAN","HA",129,263,31,0,0,423
"SAN","NK",128,0,442,0,182,752
"SAN","OO",1228,209,1711,0,8341,11489
"SAN","UA",1090,304,5562,0,5334,12290
"SAN","VX",208,124,3319,2,914,4567
"SAN","WN",5595,770,4066,0,18534,28965
"SAT","AA",873,697,442,0,683,2695
"SAT","AS",0,0,60,0,67,127
"SAT","DL",465,21,151,0,766,1403
"SAT","EV",0,0,0,0,47,47
"SAT","F9",1,0,20,0,129,150
"SAT","OO",828,0,1108,0,562,2498
"SAT","UA",185,0,523,0,662,1370
"SAT","WN",1854,247,2317,0,3220,7638
"SAV","B6",108,0,211,0,1015,1334
"SAV","DL",125,0,186,0,186,497
"SAV","EV",651,193,709,0,555,2108
"SAV","UA",69,0,41,0,0,110
"SBA","OO",1042,90,3202,0,4561,8895
"SBN","EV",66,0,36,0,63,165
"SBN","OO",1742,45,125,0,899,2811
"SBP","OO",1236,15,3172,4,2342,6769
"SCC","AS",38,66,62,0,421,587
"SCE","EV",251,328,77,0,91,747
"SCE","OO",980,0,19,0,93,1092
"SDF","AA",13,0,48,0,91,152
"SDF","DL",40,26,151,0,168,385
"SDF","EV",218,39,917,0,596,1770
"SDF","OO",3,18,72,0,261,354
"SDF","WN",295,0,204,0,326,825
"SEA","AA",2247,1069,1533,0,1163,6012
"SEA","AS",18704,3393,24733,28,5602,52460
"SEA","B6",974,77,632,0,1551,3234
"SEA","DL",2081,2100,3267,0,3458,10906
"SEA","F9",234,9,99,0,496,838
"SEA","HA",1190,460,43,0,0,1693
"SEA","NK",66,48,1462,0,239,1815
"SEA","OO",9804,2237,5194,14,12658,29907
"SEA","UA",1453,218,2233,0,2126,6030
"SEA","VX",227,37,3903,0,532,4699
"SEA","WN",1398,269,1418,0,3416,6501
"SFO","AA",5495,199,1409,0,6189,13292
"SFO","AS",920,188,1092,14,5327,7541
"SFO","B6",2409,191,1313,0,5551,9464
"SFO","DL",2134,177,694,0,3346,6351
"SFO","F9",1504,0,438,0,2099,4041
"SFO","HA",1363,77,60,0,0,1500
"SFO","OO",18260,1597,6848,0,30820,57525
"SFO","UA",19575,523,9857,0,32513,62468
"SFO","VX",2747,496,5689,28,15264,24224
"SFO","WN",2525,1075,3543,0,17053,24196
"SGF","EV",46,0,24,0,796,866
"SGF","OO",0,0,102,0,165,267
"SGU","OO",1609,0,356,0,338,2303
"SHV","DL",35,0,0,0,0,35
"SHV","EV",2366,302,611,0,808,4087
"SHV","OO",0,0,79,0,150,229
"SIT","AS",16,16,134,0,219,385
"SJC","AA",327,0,159,0,339,825
"SJC","AS",470,349,1274,0,880,2973
"SJC","B6",399,60,177,0,802,1438
"SJC","DL",2055,0,948,0,628,3631
"SJC","HA",400,62,0,0,0,462
"SJC","OO",234,334,310,0,2336,3214
"SJC","UA",814,0,121,0,260,1195
"SJC","WN",3284,867,4020,12,13652,21835
"SJU","AA",1327,0,900,0,1258,3485
"SJU","B6",2208,0,1238,25,4161,7632
"SJU","DL",66,0,153,0,145,364
"SJU","NK",26,0,145,0,242,413
"SJU","UA",480,8,446,0,2528,3462
"SJU","WN",319,0,110,0,199,628
"SLC","AA",1620,0,485,3,368,2476
"SLC","AS",808,0,896,6,28,1738
"SLC","B6",731,0,526,0,1884,3141
"SLC","DL",10079,1493,8178,18,4396,24164
"SLC","F9",102,2,84,0,579,767
"SLC","OO",6594,3069,6683,3,6263,22612
"SLC","UA",844,0,1344,0,852,3040
"SLC","WN",870,129,2447,0,4275,7721
"SMF","AA",521,0,240,0,544,1305
"SMF","AS",313,35,621,0,443,1412
"SMF","B6",114,0,128,0,840,1082
"SMF","DL",680,0,283,0,307,1270
"SMF","HA",149,0,0,0,0,149
"SMF","OO",2339,20,2840,0,4835,10034
"SMF","UA",1968,0,178,0,608,2754
"SMF","WN",2926,587,3876,0,8482,15871
"SNA","AA",1482,0,219,0,975,2676
"SNA","AS",441,207,397,2,1413,2460
"SNA","DL",1031,0,23,0,402,1456
"SNA","F9",11,0,156,0,88,255
"SNA","OO",58,0,873,0,709,1640
"SNA","UA",906,0,2831,0,2500,6237
"SNA","WN",2880,584,2634,8,8728,14834
"SPI","EV",29,0,40,0,91,160
"SPI","OO",1,0,37,0,223,261
"SPS","EV",717,0,56,0,212,985
"SRQ","B6",275,0,29,0,410,714
"SRQ","DL",730,0,31,0,249,1010
"SRQ","UA",32,0,384,0,203,619
"STL","AA",655,0,1048,0,2387,4090
"STL","AS",0,0,181,0,13,194
"STL","DL",295,0,106,0,440,841
"STL","EV",1385,0,1907,0,1282,4574
"STL","F9",380,0,429,0,302,1111
"STL","OO",1538,0,1181,0,560,3279
"STL","UA",16,0,4,0,79,99
"STL","WN",3370,860,3447,0,4898,12575
"STS","OO",21,0,5,0,19,45
"STT","AA",1471,0,394,0,1514,3379
"STT","B6",173,154,31,0,776,1134
"STT","DL",10,25,86,0,8,129
"STT","NK",79,0,165,0,66,310
"STT","UA",182,0,125,0,985,1292
"STX","AA",187,0,36,0,0,223
"STX","B6",0,0,0,0,242,242
"SUN","OO",55,100,512,0,778,1445
"SWF","B6",79,0,270,0,465,814
"SWF","OO",0,0,34,0,59,93
"SYR","AA",70,0,0,0,0,70
"SYR","B6",475,85,579,0,473,1612
"SYR","DL",11,51,8,0,37,107
"SYR","EV",0,0,16,0,18,34
"SYR","OO",11,0,342,0,367,720
"TLH","DL",54,7,35,0,161,257
"TLH","EV",353,0,26,0,582,961
"TPA","AA",2931,168,700,0,2854,6653
"TPA","AS",38,0,121,0,48,207
"TPA","B6",1114,0,1558,0,2347,5019
"TPA","DL",1751,0,1119,0,3119,5989
"TPA","F9",775,0,243,0,1100,2118
"TPA","NK",2205,147,992,0,1395,4739
"TPA","UA",1314,0,2183,0,2229,5726
"TPA","WN",2573,609,1827,12,5407,10428
"TRI","EV",408,0,15,0,720,1143
"TTN","F9",576,77,40,0,2527,3220
"TUL","AA",37,0,228,0,353,618
"TUL","DL",23,0,12,0,107,142
"TUL","EV",827,0,387,0,717,1931
"TUL","OO",839,0,24,0,132,995
"TUL","UA",185,0,3,0,92,280
"TUL","WN",199,0,285,0,338,822
"TUS","AA",1040,0,84,0,318,1442
"TUS","AS",7,0,27,0,21,55
"TUS","DL",318,0,0,0,16,334
"TUS","EV",225,0,0,0,25,250
"TUS","OO",1955,450,3784,14,2592,8795
"TUS","UA",10,0,0,0,100,110
"TUS","WN",680,375,1326,0,1852,4233
"TVC","EV",0,0,75,0,154,229
"TVC","OO",699,158,164,0,1487,2508
"TWF","OO",477,353,435,0,1508,2773
"TXK","EV",28,0,15,0,0,43
"TYR","EV",11,0,19,0,117,147
"TYS","DL",266,24,45,0,107,442
"TYS","EV",1439,104,616,0,1202,3361
"TYS","OO",1329,0,23,0,280,1632
"TYS","UA",0,0,213,0,0,213
"VLD","EV",694,0,194,0,266,1154
"VPS","DL",1660,0,30,0,35,1725
"VPS","EV",14,0,191,0,708,913
"WRG","AS",0,0,33,0,193,226
"XNA","DL",0,0,0,0,15,15
"XNA","EV",111,0,501,0,656,1268
"XNA","OO",911,0,201,0,963,2075
"YAK","AS",89,168,42,0,483,782
"YUM","OO",0,0,100,50,23,173
